% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),Listo? (no considerar),Pendiente (no considerar),
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)",Coordinación de seguridad para las sesiones (seguridad municipal y carabineros),10%,10%,70%,,16.13,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)",Coordinación con producción y comunicaciones,5%,5%,75%,,16.14,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)","Montaje de equipos e insumos para las sesiones del ""Concejo en tu barrio""",5%,5%,80%,,16.15,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)",Concejo en tu barrio,10%,10%,90%,,16.16,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Concejo en tu barrio,"Realizar sesiones del Concejo Municipal en sedes vecinales, acercando el Municipio a los barrios y fortaleciendo la participación y fiscalización ciudadana. ",100%,"Anualmente se realiza al menos una sesión del Concejo Municipal en cada territorio. Durante 2023, las sesiones del ""Concejo en tu barrio"" se realizaron entre abril y noviembre en: Sede comunitaria Chaiten (territorio 7), Junta de Vecinos Villa la Unión (territorio 5), Junta de Vecinos El Pinar (territorio 3), Junta de Vecinos Madeco Mademsa (territorio 4), Bomba Las Industrias (territorio 7), Centro Comunitario San Gregorio (territorio 2), Junta de Vecinos Bruno Neff (territorio 6) y Junta de Vecinos Pacífico Rivas 3 y 4 (territorio 1)",Evaluación anual de sedes y calendario de sesiones.,10%,10%,100%,,16.17,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Ejecución pública del presupuesto,"Publicar en la página web municipal el presupuesto municipal y su ejecución, informando los ingresos y gastos a través de una visualizaciónn amigable, fortaleciendo la transparencia e integridad del Municipio. ",100%,"Se elabora plataforma web donde se publica la ejecución presupuestaria del municipio, se puede revisar en https://sanjoaquin.cl/presupuesto-transparente/",Definición de los procedimientos para la puesta en marcha y actualización periódica de la información,10%,10%,10%,1,16.18,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Ejecución pública del presupuesto,"Publicar en la página web municipal el presupuesto municipal y su ejecución, informando los ingresos y gastos a través de una visualizaciónn amigable, fortaleciendo la transparencia e integridad del Municipio. ",100%,"Se elabora plataforma web donde se publica la ejecución presupuestaria del municipio, se puede revisar en https://sanjoaquin.cl/presupuesto-transparente/",Definición de la clasificación de ingresos y clasificación del Balance de Ingresos,15%,15%,25%,,16.19,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Ejecución pública del presupuesto,"Publicar en la página web municipal el presupuesto municipal y su ejecución, informando los ingresos y gastos a través de una visualizaciónn amigable, fortaleciendo la transparencia e integridad del Municipio. ",100%,"Se elabora plataforma web donde se publica la ejecución presupuestaria del municipio, se puede revisar en https://sanjoaquin.cl/presupuesto-transparente/",Definición de la clasificación de gastos y clasificación del Balance de Gastos,15%,15%,40%,,16.20,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Ejecución pública del presupuesto,"Publicar en la página web municipal el presupuesto municipal y su ejecución, informando los ingresos y gastos a través de una visualizaciónn amigable, fortaleciendo la transparencia e integridad del Municipio. ",100%,"Se elabora plataforma web donde se publica la ejecución presupuestaria del municipio, se puede revisar en https://sanjoaquin.cl/presupuesto-transparente/",Elaboración de planificación y procedimiento para la actualización de la información,10%,10%,50%,,16.21,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Ejecución pública del presupuesto,"Publicar en la página web municipal el presupuesto municipal y su ejecución, informando los ingresos y gastos a través de una visualizaciónn amigable, fortaleciendo la transparencia e integridad del Municipio. ",100%,"Se elabora plataforma web donde se publica la ejecución presupuestaria del municipio, se puede revisar en https://sanjoaquin.cl/presupuesto-transparente/",Definición del formato de presentación y diseño web,15%,15%,65%,,16.22,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Ejecución pública del presupuesto,"Publicar en la página web municipal el presupuesto municipal y su ejecución, informando los ingresos y gastos a través de una visualizaciónn amigable, fortaleciendo la transparencia e integridad del Municipio. ",100%,"Se elabora plataforma web donde se publica la ejecución presupuestaria del municipio, se puede revisar en https://sanjoaquin.cl/presupuesto-transparente/",Diseño de la plataforma digital mediante la que se presentará la información,30%,30%,95%,,16.23,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Ejecución pública del presupuesto,"Publicar en la página web municipal el presupuesto municipal y su ejecución, informando los ingresos y gastos a través de una visualizaciónn amigable, fortaleciendo la transparencia e integridad del Municipio. ",100%,"Se elabora plataforma web donde se publica la ejecución presupuestaria del municipio, se puede revisar en https://sanjoaquin.cl/presupuesto-transparente/",Publicación de la ejecución presupuestaria,5%,5%,100%,,16.24,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Aumento de ingresos propios del municipio.,"Aumentar los ingresos propios del municipio, tales como: patentes; derechos; permisos; cobranza a deudores; entre otros, a través de la gestión de medidas destinadas a incrementarlos, con el fin de brindar más y mejores servicios municipales. ",100%,"Se han realizado diversas gestiones para aumentar los ingresos municipales, como pago de patentes; permisos de circulación; contribuciones; derechos de aseo; licencias de conducir; entre otros, con el fin de entregar más servicios sociales y dar respuesta a más necesidades de los vecinos/as. En 2023 se recibieron $47.651 millones, lo que corresponde a un aumento del 34% en comparación al 2020.","Elaboración anual del presupuesto y el plan de ingresos, que incluya medidas de gestión específicas, destinadas a incrementar los ingresos en el año presupuestario",50%,50%,50%,1,16.25,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Aumento de ingresos propios del municipio.,"Aumentar los ingresos propios del municipio, tales como: patentes; derechos; permisos; cobranza a deudores; entre otros, a través de la gestión de medidas destinadas a incrementarlos, con el fin de brindar más y mejores servicios municipales. ",100%,"Se han realizado diversas gestiones para aumentar los ingresos municipales, como pago de patentes; permisos de circulación; contribuciones; derechos de aseo; licencias de conducir; entre otros, con el fin de entregar más servicios sociales y dar respuesta a más necesidades de los vecinos/as. En 2023 se recibieron $47.651 millones, lo que corresponde a un aumento del 34% en comparación al 2020.","Elaboración mensual de la proyección de ingresos, evaluando el cumplimiento proyectado por cada cuenta y dirección municipal, haciendo seguimiento a la implementación y cumplimiento de las medidas de gestión de ingresos incluidas en el presupuesto",15%,15%,65%,,16.26,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Aumento de ingresos propios del municipio.,"Aumentar los ingresos propios del municipio, tales como: patentes; derechos; permisos; cobranza a deudores; entre otros, a través de la gestión de medidas destinadas a incrementarlos, con el fin de brindar más y mejores servicios municipales. ",100%,"Se han realizado diversas gestiones para aumentar los ingresos municipales, como pago de patentes; permisos de circulación; contribuciones; derechos de aseo; licencias de conducir; entre otros, con el fin de entregar más servicios sociales y dar respuesta a más necesidades de los vecinos/as. En 2023 se recibieron $47.651 millones, lo que corresponde a un aumento del 34% en comparación al 2020.","Elaborar e implementar medidas correctivas cuando sea necesario, de acuerdo al grado de cumplimiento proyectado",25%,25%,90%,,16.27,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Aumento de ingresos propios del municipio.,"Aumentar los ingresos propios del municipio, tales como: patentes; derechos; permisos; cobranza a deudores; entre otros, a través de la gestión de medidas destinadas a incrementarlos, con el fin de brindar más y mejores servicios municipales. ",100%,"Se han realizado diversas gestiones para aumentar los ingresos municipales, como pago de patentes; permisos de circulación; contribuciones; derechos de aseo; licencias de conducir; entre otros, con el fin de entregar más servicios sociales y dar respuesta a más necesidades de los vecinos/as. En 2023 se recibieron $47.651 millones, lo que corresponde a un aumento del 34% en comparación al 2020.","Cierre de año presupuestario anual, verificando si se dio cumplimiento al presupuesto y si las medidas de gestión de ingresos fueron efectivas",10%,10%,100%,,16.28,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Implementar modelo de gestión documental y digitalización de los trámites municipales,"Implementar un sistema de digitalización de los trámites municipales y gestión documental, incluyendo el seguimiento de solicitudes, modernizando la gestión municipal y agilizando los trámites ofrecidos.",60%,"Durante 2023 se implementaron los sistemas para trámites internos de pago de remuneraciones a los prestadores de servicios:
- Tramitación Electrónica de Documentos (TED) 
- Gestión Documental a través de plataformas ""Firma gob"" y ""doc digital""
Además se conformó la mesa de trabajo municipal que busca dar cumplimiento a la Ley de Transformación Digital. ","Implementación de sistemas digitales para diversos trámites, tales como: permiso de circulación, licencia de conducir, Oficina Municipal de Información Laboral, trámites ante la Dirección de Obras Municipales (Smart DOM), pago de patentes y derechos, consulta de precios y stock en farmacia popular.",20%,20%,20%,1,16.29,16,Si,,
90%,16. Transparencia y modernización municipal,92%,Implementar modelo de gestión documental y digitalización de los trámites municipales,"Implementar un sistema de digitalización de los trámites municipales y gestión documental, incluyendo el seguimiento de solicitudes, modernizando la gestión municipal y agilizando los trámites ofrecidos.",60%,"Durante 2023 se implementaron los sistemas para trámites internos de pago de remuneraciones a los prestadores de servicios:
- Tramitación Electrónica de Documentos (TED) 
- Gestión Documental a través de plataformas ""Firma gob"" y ""doc digital""
Además se conformó la mesa de trabajo municipal que busca dar cumplimiento a la Ley de Transformación Digital. ",Levantamiento de necesidades y licitación para la implementación de sistemas de gestión documental y digitalización.,10%,10%,30%,,16.30,16,Si,,
